ID,label,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,Grouped_Housing_Type
5106137,0,M,1,1,0,126000,Working,Secondary / secondary special,Separated,-18512,-211,1,1,0,Drivers,1,51,0.5,House / apartment
5022875,1,F,1,1,2,225000,Commercial associate,Higher education,Married,-14100,-3623,0,0,0,Private service staff,4,39,10,House / apartment
5010390,1,F,1,1,0,540000,Commercial associate,Higher education,Married,-13758,-2535,0,0,1,Managers,2,38,7,House / apartment
5145979,1,F,1,0,0,112500,State servant,Secondary / secondary special,Widow,-19538,-5880,0,0,0,Secretaries,1,54,16,House / apartment
5061622,1,M,1,1,0,427500,State servant,Incomplete higher,Single / not married,-11943,-3150,0,1,0,High skill tech staff,1,33,8.5,Other
5140110,1,M,0,1,0,193500,Commercial associate,Incomplete higher,Single / not married,-9070,-401,0,0,0,Sales staff,1,25,1,House / apartment
5135471,1,F,0,1,0,180000,Working,Secondary / secondary special,Married,-19881,-7718,0,0,0,Secretaries,2,54,21,House / apartment
5115736,1,F,0,1,0,90000,Working,Secondary / secondary special,Separated,-19973,-12917,0,0,0,Accountants,1,55,35.5,House / apartment
5050511,1,F,0,0,0,225000,Commercial associate,Secondary / secondary special,Civil marriage,-19488,-3119,1,0,0,Sales staff,2,53,8.5,House / apartment
5149756,1,F,0,1,1,180000,State servant,Secondary / secondary special,Single / not married,-13467,-3850,0,1,0,Medicine staff,2,37,10.5,House / apartment
5041138,1,F,0,1,0,157500,State servant,Incomplete higher,Civil marriage,-10338,-795,0,0,0,Core staff,2,28,2,House / apartment
5090985,1,M,1,1,0,495000,Working,Incomplete higher,Married,-8917,-1101,0,0,1,Drivers,2,24,3,Other
5038765,1,F,0,1,1,112500,Working,Secondary / secondary special,Married,-13741,-5221,0,0,0,Laborers,3,38,14.5,House / apartment
5048216,1,M,1,1,1,270000,Commercial associate,Secondary / secondary special,Married,-12250,-857,0,0,0,Laborers,3,34,2.5,House / apartment
5024260,1,M,0,1,0,162000,Working,Secondary / secondary special,Single / not married,-11495,-581,0,0,0,Security staff,1,31,1.5,House / apartment
5025092,1,M,1,0,3,90000,Working,Lower secondary,Separated,-13608,-1461,1,0,0,Drivers,4,37,4,Other
5025092,1,M,1,0,3,90000,Working,Lower secondary,Separated,-13608,-1461,1,0,0,Drivers,4,37,4,Other
5113542,1,F,0,0,2,193500,Commercial associate,Lower secondary,Civil marriage,-9596,-2445,0,0,1,Accountants,4,26,6.5,House / apartment
