ID,label,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,Grouped_Housing_Type,NAME_HOUSING_TYPE_GROUPED
5008806,1,M,1,1,0,112500,Working,Secondary / secondary special,Married,-21474,-1134,0,0,0,Security staff,2,59,3,House / apartment,First Feature
5008808,1,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,-19110,-3051,0,1,1,Sales staff,1,52,8.5,House / apartment,First Feature
5008809,1,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,-19110,-3051,0,1,1,Sales staff,1,52,8.5,House / apartment,First Feature
5008810,1,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,-19110,-3051,0,1,1,Sales staff,1,52,8.5,House / apartment,First Feature
5008811,1,F,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,-19110,-3051,0,1,1,Sales staff,1,52,8.5,House / apartment,First Feature
5008815,1,M,1,1,0,270000,Working,Higher education,Married,-16872,-769,1,1,1,Accountants,2,46,2,House / apartment,First Feature
5008819,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008820,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008821,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008822,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008823,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008824,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-17778,-1194,0,0,0,Laborers,2,49,3.5,House / apartment,First Feature
5008825,0,F,1,0,0,130500,Working,Incomplete higher,Married,-10669,-1103,0,0,0,Accountants,2,29,3,House / apartment,First Feature
5008826,0,F,1,0,0,130500,Working,Incomplete higher,Married,-10669,-1103,0,0,0,Accountants,2,29,3,House / apartment,First Feature
5008830,0,F,0,1,0,157500,Working,Secondary / secondary special,Married,-10031,-1469,0,1,0,Laborers,2,27,4,House / apartment,First Feature
5008831,0,F,0,1,0,157500,Working,Secondary / secondary special,Married,-10031,-1469,0,1,0,Laborers,2,27,4,House / apartment,First Feature
5008832,0,F,0,1,0,157500,Working,Secondary / secondary special,Married,-10031,-1469,0,1,0,Laborers,2,27,4,House / apartment,First Feature
5008836,1,M,1,1,3,270000,Working,Secondary / secondary special,Married,-12689,-1163,0,0,0,Laborers,5,35,3,House / apartment,First Feature
5008837,1,M,1,1,3,270000,Working,Secondary / secondary special,Married,-12689,-1163,0,0,0,Laborers,5,35,3,House / apartment,First Feature
5008838,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
5008839,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
5008840,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
