CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,Grouped_Housing_Type,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,label
F,Working,Higher education,Civil marriage,House / apartment,Core staff,0,1,0,112500,-10443,-560,0,0,0,2,29,1.5,1
F,Commercial associate,Secondary / secondary special,Widow,House / apartment,Accountants,1,1,0,135000,-21581,-5467,0,0,0,1,59,15,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Managers,1,0,0,225000,-17473,-2631,0,0,0,1,48,7,0
F,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,0,0,112500,-21842,-3869,0,0,0,2,60,10.5,1
F,Commercial associate,Secondary / secondary special,Married,Other,Accountants,1,1,0,360000,-16477,-2997,0,0,0,2,45,8,1
F,Commercial associate,Lower secondary,Married,Other,Sales staff,0,0,0,112500,-19020,-231,0,0,0,2,52,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,315000,-18213,-1151,1,0,0,2,50,3,0
M,Working,Higher education,Civil marriage,House / apartment,Laborers,0,0,2,225000,-16768,-3088,1,0,0,4,46,8.5,0
M,State servant,Incomplete higher,Married,House / apartment,Core staff,0,1,1,157500,-8948,-1751,0,0,0,3,25,5,0
F,Commercial associate,Higher education,Separated,House / apartment,Laborers,1,1,1,225000,-15671,-232,0,0,1,2,43,0.5,1
M,State servant,Secondary / secondary special,Married,Other,Laborers,1,1,2,337500,-12977,-3970,0,0,0,4,36,11,1
F,State servant,Secondary / secondary special,Married,House / apartment,Core staff,1,1,2,135000,-14439,-6094,1,0,0,4,40,16.5,0
F,Working,Higher education,Single / not married,House / apartment,Accountants,1,1,0,202500,-10754,-3870,1,1,0,1,29,10.5,1
F,Commercial associate,Incomplete higher,Married,House / apartment,Laborers,1,1,1,360000,-17091,-127,0,0,0,3,47,0.5,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,0,405000,-10772,-546,0,0,0,2,30,1.5,1
F,Commercial associate,Incomplete higher,Married,House / apartment,Managers,1,0,0,360000,-16184,-1688,1,1,0,2,44,4.5,1
